frame,track_id,class,conf,x,y
1,1,truck,0.8526843190193176,676.8984375,78.86679077148438
1,2,car,0.8156656622886658,219.71817016601562,56.18092346191406
1,3,car,0.7963972091674805,115.98164367675781,102.46095275878906
1,4,car,0.7922304272651672,331.792724609375,19.09197998046875
1,5,car,0.7892363667488098,817.2032470703125,103.16560363769531
1,6,car,0.7462150454521179,378.3287658691406,34.08429718017578
1,7,car,0.7273874878883362,584.011474609375,114.37246704101562
1,8,car,0.5521699786186218,769.708984375,66.2801513671875
2,1,truck,0.8284490704536438,675.980224609375,75.80894470214844
2,2,car,0.8101884126663208,215.40667724609375,56.18052673339844
2,3,car,0.8064477443695068,104.65037536621094,104.70547485351562
2,4,car,0.7669554948806763,329.650390625,19.154279708862305
2,5,car,0.795944333076477,816.134521484375,100.63642883300781
2,6,car,0.7388647794723511,374.09100341796875,34.94491958618164
2,7,car,0.7426058650016785,584.598388671875,111.03628540039062
2,8,car,0.5212157964706421,768.09765625,64.92274475097656
3,1,truck,0.8351782560348511,675.6068115234375,73.29248046875
3,2,car,0.8136541843414307,210.6458282470703,57.31315612792969
3,3,car,0.8317963480949402,98.14192199707031,107.99880981445312
3,4,car,0.7130393981933594,326.7586975097656,19.58682632446289
3,5,car,0.7968271970748901,814.05322265625,97.92076873779297
3,6,car,0.7320056557655334,370.47137451171875,36.13540267944336
3,7,car,0.7142128348350525,586.2127685546875,105.57046508789062
3,8,car,0.5188528299331665,768.85498046875,63.21957015991211
4,1,truck,0.846757173538208,675.3005981445312,71.05770874023438
4,2,car,0.8039047122001648,205.1207275390625,58.89674377441406
4,3,car,0.8237946629524231,83.6622314453125,112.54283142089844
4,4,car,0.7075027823448181,323.88043212890625,20.672025680541992
4,5,car,0.7988810539245605,811.935791015625,95.7391128540039
4,6,car,0.6632616519927979,366.2437438964844,38.23554229736328
4,7,car,0.795831561088562,587.818115234375,101.99501037597656
4,8,car,0.5372156500816345,767.8872680664062,61.82120895385742
5,1,truck,0.8240349292755127,675.5574951171875,68.8797378540039
5,2,car,0.7952642440795898,199.82803344726562,60.03559875488281
5,3,car,0.863930344581604,69.85617065429688,116.77870178222656
5,4,car,0.7012573480606079,321.37933349609375,21.020488739013672
5,5,car,0.803408682346344,810.2027587890625,92.55765533447266
5,6,car,0.675862193107605,362.0262756347656,39.58253479003906
5,7,car,0.7966159582138062,589.3140869140625,98.84654235839844
5,8,car,0.6374273896217346,766.863525390625,60.070186614990234
6,1,truck,0.8085098266601562,675.5191650390625,67.38546752929688
6,2,car,0.8417518734931946,193.96658325195312,62.249874114990234
6,3,car,0.8548830151557922,57.06186294555664,120.66860961914062
6,4,car,0.7131448984146118,318.11004638671875,22.117502212524414
6,5,car,0.7976034879684448,808.9881591796875,90.52357482910156
6,6,car,0.7123950123786926,357.85272216796875,41.461448669433594
6,7,car,0.8170623779296875,590.9540405273438,96.1448974609375
6,8,car,0.6250531077384949,766.5438232421875,59.09137725830078
6,9,car,0.8761518597602844,1054.41357421875,637.7833251953125
7,1,truck,0.8752447366714478,675.138427734375,64.63032531738281
7,2,car,0.852850615978241,188.0386962890625,63.89126205444336
7,3,car,0.852033257484436,44.7774772644043,125.01246643066406
7,4,car,0.7503998875617981,315.3226013183594,22.465864181518555
7,5,car,0.7480714917182922,807.7218017578125,87.65716552734375
7,6,car,0.7536218166351318,353.45379638671875,42.48513412475586
7,7,car,0.8078612089157104,592.1692504882812,92.46408081054688
7,8,car,0.5610252618789673,765.855224609375,57.04970169067383
7,9,car,0.905500054359436,1042.9337158203125,623.45654296875
8,1,truck,0.8775672316551208,674.9569091796875,62.86882019042969
8,2,car,0.8663985729217529,182.60044860839844,65.45211791992188
8,3,car,0.6884853839874268,38.72557067871094,129.8233642578125
8,4,car,0.7169052362442017,312.4510192871094,23.93431282043457
8,5,car,0.7331640720367432,806.4630126953125,86.01370239257812
8,6,car,0.7258012890815735,349.11279296875,44.464168548583984
8,7,car,0.7297874689102173,593.142578125,89.53572082519531
8,8,car,0.48822763562202454,764.8282470703125,56.033790588378906
8,9,car,0.9140369296073914,1024.1435546875,607.51611328125
9,1,truck,0.8735766410827637,674.4259033203125,60.271400451660156
9,2,car,0.8731859922409058,176.9549560546875,66.69656372070312
9,3,car,0.7123193144798279,34.979217529296875,134.379150390625
9,4,car,0.6767340302467346,309.43133544921875,24.97315788269043
9,5,car,0.778620183467865,805.2781372070312,83.7085952758789
